artist,name,url,yt_links,Genre0,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Genre7
Taylor Swift,tHE arcHEr,https://www.last.fm/music/Taylor+Swift/_/tHE+arcHEr,https://www.youtube.com/watch?v=8KpKc3C9V3w,pop,synthpop,taylor swift,dream pop,pop,country,female vocalists,
Taylor Swift,Daylight,https://www.last.fm/music/Taylor+Swift/_/Daylight,https://www.youtube.com/watch?v=u9raS7-NisU,pop,love at first listen,pop,country,female vocalists,,,
Playboi Carti,King Vamp,https://www.last.fm/music/Playboi+Carti/_/King+Vamp,https://www.youtube.com/watch?v=4PXVUBLjLNc,trap,hip-hop,cloud rap,rap,hip hop,trap,hip-hop,cloud rap
Rosalía,LA FAMA (with The Weeknd),https://www.last.fm/music/Rosal%C3%ADa/_/LA+FAMA+(with+The+Weeknd),https://www.youtube.com/watch?v=e-CEd6xrRQc,bachata,latin pop,rosalia,alternative rnb,el wiken,flamenco,pop,spanish
Bee Gees,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",https://www.last.fm/music/Bee+Gees/_/More+Than+A+Woman+-+From+%22Saturday+Night+Fever%22+Soundtrack,https://www.youtube.com/watch?v=OnVVz-z3SJs,disco,pop,70s,classic rock,oldies,disco,pop,70s
Red Hot Chili Peppers,Scar Tissue,https://www.last.fm/music/Red+Hot+Chili+Peppers/_/Scar+Tissue,https://www.youtube.com/watch?v=mzJj5-lubeM,rock,alternative rock,alternative,funk,red hot chili peppers,rock,alternative rock,funk rock
"Tyler, the Creator",WILSHIRE,"https://www.last.fm/music/Tyler,+the+Creator/_/WILSHIRE",https://www.youtube.com/watch?v=LxGVyJLjbiY,hip hop,epic,relationship,psychedelic soul,west coast hip hop,hip-hop,rap,ofwgkta
Frank Ocean,Skyline To,https://www.last.fm/music/Frank+Ocean/_/Skyline+To,https://www.youtube.com/watch?v=CtkUJb22oSQ,alternative rnb,soul,rnb,downtempo,rnb,soul,hip-hop,
BTS,IDOL,https://www.last.fm/music/BTS/_/IDOL,https://www.youtube.com/watch?v=pBuZEGYXA6E,bts,k-pop,kpop,pop,k-pop,bts,korean,
Bad Bunny,Yonaguni,https://www.last.fm/music/Bad+Bunny/_/Yonaguni,https://www.youtube.com/watch?v=doLMt10ytHY,latin,j-pop,hip-hop,rnb,latin pop,reggaeton,latin,trap
Taylor Swift,All You Had to Do Was Stay,https://www.last.fm/music/Taylor+Swift/_/All+You+Had+to+Do+Was+Stay,https://www.youtube.com/watch?v=Wo93B0s7QcY,pop,synthpop,love at first listen,pop,country,female vocalists,,
Dua Lipa,New Rules,https://www.last.fm/music/Dua+Lipa/_/New+Rules,https://www.youtube.com/watch?v=k2qgadSvNyU,pop,dance,2017,pop,synthpop,british,,
BTS,Spring Day,https://www.last.fm/music/BTS/_/Spring+Day,https://www.youtube.com/watch?v=xEeFrLSkMm8,bts,k-pop,kpop,jimin,k-pop,bts,korean,
Katy Perry,Harleys in Hawaii,https://www.last.fm/music/Katy+Perry/_/Harleys+in+Hawaii,https://www.youtube.com/watch?v=sQEgklEwhSo,pop,tropical,2019,2010s,pop,female vocalists,pop rock,
Bruno Mars,Just the Way You Are,https://www.last.fm/music/Bruno+Mars/_/Just+the+Way+You+Are,https://www.youtube.com/watch?v=LjhCEhWiKXk,pop,bruno mars,rnb,love,pop,rnb,male vocalists,
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)","https://www.last.fm/music/Jay+Rock/_/King%27s+Dead+(with+Kendrick+Lamar,+Future+&+James+Blake)",https://www.youtube.com/watch?v=VwAnsAUYnw4,hip-hop,rap,trap,soundtrack,hip-hop,rap,gangsta rap,
Masked Wolf,Astronaut In The Ocean,https://www.last.fm/music/Masked+Wolf/_/Astronaut+In+The+Ocean,https://www.youtube.com/watch?v=MEg-oqI9qmw,rap,2021,2020s,hip-hop,australian,rap,,
Billie Eilish,Bellyache,https://www.last.fm/music/Billie+Eilish/_/Bellyache,https://www.youtube.com/watch?v=gBRi6aZJGj4,pop,indie,alternative,electropop,billie eilish,pop,indie pop,electropop
Young Thug,Bubbly (with Drake & Travis Scott),https://www.last.fm/music/Young+Thug/_/Bubbly+(with+Drake+&+Travis+Scott),https://www.youtube.com/watch?v=uCDE-S1AjuQ,rap,hip hop,hip-hop,southern hip hop,hip-hop,trap,rap,
Joji,Will He,https://www.last.fm/music/Joji/_/Will+He,https://www.youtube.com/watch?v=R2zXxQHBpd8,lofi,joji,romantic garbage,lo-fi,rnb,hip-hop,,
Grizzly Bear,Two Weeks,https://www.last.fm/music/Grizzly+Bear/_/Two+Weeks,https://www.youtube.com/watch?v=tjecYugTbIQ,indie,motherfuckin rabbits ejaculating sunshine,indie rock,beautiful,best of 2009,indie,experimental,folk
Katy Perry,California Gurls,https://www.last.fm/music/Katy+Perry/_/California+Gurls,https://www.youtube.com/watch?v=F57P9C4SAW4,pop,female vocalists,pop rock,katy perry,dance,pop,female vocalists,pop rock
"Tyler, the Creator",IFHY (feat. Pharrell),"https://www.last.fm/music/Tyler,+the+Creator/_/IFHY+(feat.+Pharrell)",https://www.youtube.com/watch?v=3lDqMx4rmFU,rap,hiphop,<3,played,hip-hop,rap,ofwgkta,
Billie Eilish,bury a friend,https://www.last.fm/music/Billie+Eilish/_/bury+a+friend,https://www.youtube.com/watch?v=HUHC9tYz8ik,electropop,alternative,pop,alternative rnb,2010s,pop,indie pop,electropop
Queen,Under Pressure - Remastered 2011,https://www.last.fm/music/Queen/_/Under+Pressure+-+Remastered+2011,https://www.youtube.com/watch?v=a01QQZyl-_I,rock,80s,moonlight-gold,pop-rock,classic rock,rock,hard rock,
Elton John,I'm Still Standing,https://www.last.fm/music/Elton+John/_/I%27m+Still+Standing,https://www.youtube.com/watch?v=ZHwVBirqD2s,80s,pop,rock,classic rock,elton john,pop,classic rock,rock
BTS,Home,https://www.last.fm/music/BTS/_/Home,https://www.youtube.com/watch?v=ghJURdZKq3I,k-pop,bts,k-pop,bts,korean,,,
TWICE,cry for me,https://www.last.fm/music/TWICE/_/cry+for+me,https://www.youtube.com/watch?v=FF50-LY2Kro,twice,best gg,k-pop,dance-pop,k-pop,kpop,korean,
Mitski,A Burning Hill,https://www.last.fm/music/Mitski/_/A+Burning+Hill,https://www.youtube.com/watch?v=9ffnue9zMEY,indie,indie pop,folk pop,chamber pop,sad girl pop,indie rock,indie,indie pop
Taylor Swift,Miss Americana & the Heartbreak Prince,https://www.last.fm/music/Taylor+Swift/_/Miss+Americana+&+the+Heartbreak+Prince,https://www.youtube.com/watch?v=Kwf7P2GNAVw,pop,electropop,synthpop,dream pop,pop,country,female vocalists,
Nicki Minaj,Starships,https://www.last.fm/music/Nicki+Minaj/_/Starships,https://www.youtube.com/watch?v=SeIJmciN8mo,pop,dance,nicki minaj,party,hip-hop,rap,pop,
Bon Jovi,Livin' on a Prayer,https://www.last.fm/music/Bon+Jovi/_/Livin%27+on+a+Prayer,https://www.youtube.com/watch?v=lDK9QqIzhwk,rock,80s,classic rock,hard rock,bon jovi,rock,hard rock,classic rock
Taylor Swift,Clean,https://www.last.fm/music/Taylor+Swift/_/Clean,https://www.youtube.com/watch?v=xkXerW7kLXk,pop,imogen heap,is this the best song or what,pop,country,female vocalists,,
Radiohead,Nude,https://www.last.fm/music/Radiohead/_/Nude,https://www.youtube.com/watch?v=BbWBRnDK_AE,alternative,alternative rock,rock,indie,beautiful,alternative,rock,alternative rock
Soundgarden,Black Hole Sun,https://www.last.fm/music/Soundgarden/_/Black+Hole+Sun,https://www.youtube.com/watch?v=3mbBbFH9fAg,grunge,90s,rock,alternative rock,alternative,grunge,alternative rock,rock
Frank Sinatra,Jingle Bells - Remastered 1999,https://www.last.fm/music/Frank+Sinatra/_/Jingle+Bells+-+Remastered+1999,https://www.youtube.com/watch?v=hLf0-lro8X8,jazz,swing,oldies,vocal jazz,jazz,swing,christmas,
Kanye West,Through the Wire,https://www.last.fm/music/Kanye+West/_/Through+the+Wire,https://www.youtube.com/watch?v=uvb-1wjAtk4,hip-hop,hip hop,rap,kanye west,rnb,hip-hop,rap,hip hop
Playboi Carti,Punk Monk,https://www.last.fm/music/Playboi+Carti/_/Punk+Monk,https://www.youtube.com/watch?v=QrYtTe9aTRc,gothic,goth,classic rock,hardcore,trap,hip-hop,cloud rap,
Juice WRLD,Wishing Well,https://www.last.fm/music/Juice+WRLD/_/Wishing+Well,https://www.youtube.com/watch?v=C5i-UnuUKUI,rap,wishing well,juice wrld,pop,hip-hop,rap,emo rap,
AC/DC,Back in Black,https://www.last.fm/music/AC%2FDC/_/Back+in+Black,https://www.youtube.com/watch?v=pAgnJDJN4VA,hard rock,classic rock,rock,heavy metal,acdc,hard rock,classic rock,rock
Queen,Thank God It's Christmas,https://www.last.fm/music/Queen/_/Thank+God+It%27s+Christmas,https://www.youtube.com/watch?v=qw2TD91Nytg,christmas,xmas,queen,classic rock,rock,hard rock,,
Bon Iver,Skinny Love,https://www.last.fm/music/Bon+Iver/_/Skinny+Love,https://www.youtube.com/watch?v=Dz5s5C6sAt0,folk,indie,acoustic,singer-songwriter,beautiful,folk,indie,singer-songwriter
Kendrick Lamar,A.D.H.D,https://www.last.fm/music/Kendrick+Lamar/_/A.D.H.D,https://www.youtube.com/watch?v=QjlFqgRbICY,hip-hop,rap,underground hip hop,hip-hop,rap,hip hop,,
Adele,Love In The Dark,https://www.last.fm/music/Adele/_/Love+In+The+Dark,https://www.youtube.com/watch?v=-hzFTJDJGkQ,soul,pop, indie,soul,female vocalists,british,,
Childish Gambino,Sober,https://www.last.fm/music/Childish+Gambino/_/Sober,https://www.youtube.com/watch?v=jx96Twg-Aew,rnb,or fucking gasmic,gambino,not sober,hip-hop,rap,hip hop,
Pop Smoke,What You Know Bout Love,https://www.last.fm/music/Pop+Smoke/_/What+You+Know+Bout+Love,https://www.youtube.com/watch?v=uuodbSVO3z0,2020,pop smoke,2020s,hip hop,rap,hip-hop,drill,
Twenty One Pilots,Heathens,https://www.last.fm/music/Twenty+One+Pilots/_/Heathens,https://www.youtube.com/watch?v=UprcpdwuwCg,alternative,rock,love at first listen,alternative,electronic,indie,,
Jimi Hendrix,All Along the Watchtower,https://www.last.fm/music/Jimi+Hendrix/_/All+Along+the+Watchtower,https://www.youtube.com/watch?v=TLV4_xaYynY,classic rock,rock,60s,psychedelic,guitar,classic rock,rock,blues
Jack Harlow,Tyler Herro,https://www.last.fm/music/Jack+Harlow/_/Tyler+Herro,https://www.youtube.com/watch?v=np9Ub1LilKU,jack harlow,rap,hip-hop,trap,,,,
Paramore,Ain't It Fun,https://www.last.fm/music/Paramore/_/Ain%27t+It+Fun,https://www.youtube.com/watch?v=EFEmTsfFL5A,rock,pop rock,alternative,2013,alternative rock,rock,pop punk,alternative
Between Friends,affection,https://www.last.fm/music/Between+Friends/_/affection,https://www.youtube.com/watch?v=uJoMqYumxmA,pop,indie pop,bedroom pop,pop,,,,
IU,eight(Prod.&Feat. SUGA of BTS),https://www.last.fm/music/IU/_/eight(Prod.&Feat.+SUGA+of+BTS),https://www.youtube.com/watch?v=TgOu00Mf3kI,bts,suga,pop,pop rock,k-pop,korean,female vocalists,
Taylor Swift,False God,https://www.last.fm/music/Taylor+Swift/_/False+God,https://www.youtube.com/watch?v=acQXa5ArHIk,pop,saxophone,taylor swift,pop,country,female vocalists,,
Dean Martin,"Baby, It's Cold Outside","https://www.last.fm/music/Dean+Martin/_/Baby,+It%27s+Cold+Outside",https://www.youtube.com/watch?v=1hriK2ptcS0,christmas,oldies,holiday,jazz,jazz,swing,christmas,
Mother Mother,Burning Pile,https://www.last.fm/music/Mother+Mother/_/Burning+Pile,https://www.youtube.com/watch?v=_ikArCV_zD0,indie pop,indie,acoustic,twee,indie,canadian,indie pop,
Frank Ocean,Biking,https://www.last.fm/music/Frank+Ocean/_/Biking,https://www.youtube.com/watch?v=fYGPcfUqzL0,rnb,hip-hop,2017,rnb,soul,hip-hop,,
The Killers,When You Were Young,https://www.last.fm/music/The+Killers/_/When+You+Were+Young,https://www.youtube.com/watch?v=ff0oWESdmH0,rock,indie rock,indie,alternative,alternative rock,indie rock,indie,rock
Owl City,Fireflies,https://www.last.fm/music/Owl+City/_/Fireflies,https://www.youtube.com/watch?v=psuRGfAaju4,electronic,pop,owl city,catchy,electronic,indie,powerpop,
Siouxxie,Masquerade,https://www.last.fm/music/Siouxxie/_/Masquerade,https://www.youtube.com/watch?v=h9RuMpN2Zzg,experimental hip-hop,horrorcore,hyperpop,evil hyperpop,hyperpop,experimental hip-hop,experimental hip hop,
Kiss,I Was Made for Lovin' You,https://www.last.fm/music/Kiss/_/I+Was+Made+for+Lovin%27+You,https://www.youtube.com/watch?v=ZhIsAZO5gl0,hard rock,rock,classic rock,glam rock,70s,hard rock,glam rock,classic rock
Mild High Club,HOMAGE,https://www.last.fm/music/Mild+High+Club/_/HOMAGE,https://www.youtube.com/watch?v=oRGDhgITetc,2016,indie,psychedelic pop,psychedelic,jazz,,,
Queens of the Stone Age,No One Knows,https://www.last.fm/music/Queens+of+the+Stone+Age/_/No+One+Knows,https://www.youtube.com/watch?v=s88r_q7oufE,rock,stoner rock,alternative rock,hard rock,alternative,stoner rock,alternative rock,rock
Katy Perry,Firework,https://www.last.fm/music/Katy+Perry/_/Firework,https://www.youtube.com/watch?v=QGJuMBdaqIw,pop,katy perry,female vocalists,dance,pop,female vocalists,pop rock,
Pink Floyd,Wish You Were Here,https://www.last.fm/music/Pink+Floyd/_/Wish+You+Were+Here,https://www.youtube.com/watch?v=hjpF8ukSrvk,progressive rock,classic rock,psychedelic rock,rock,pink floyd,progressive rock,psychedelic rock,classic rock
Ariana Grande,Love Me Harder,https://www.last.fm/music/Ariana+Grande/_/Love+Me+Harder,https://www.youtube.com/watch?v=g5qU7p7yOY8,pop,love,rnb,hot,max martin,pop,rnb,female vocalists
Bruno Mars,Silk Sonic Intro,https://www.last.fm/music/Bruno+Mars/_/Silk+Sonic+Intro,https://www.youtube.com/watch?v=xA5hlB6bScc,silk sonic,funk,pop,rnb,male vocalists,,,
Camila Cabello,Don't Go Yet,https://www.last.fm/music/Camila+Cabello/_/Don%27t+Go+Yet,https://www.youtube.com/watch?v=iFPkd-7AcDM,pop,latin,camila cabello,latin pop,pop,female vocalists,dance,
Lana Del Rey,If You Lie Down With Me,https://www.last.fm/music/Lana+Del+Rey/_/If+You+Lie+Down+With+Me,https://www.youtube.com/watch?v=xFv0wg_alGk,indie,alternative,indie pop,lush,jazz pop,indie,female vocalists,pop
BTS,UGH!,https://www.last.fm/music/BTS/_/UGH%21,https://www.youtube.com/watch?v=1yxEmmYQdl8,rap,angry,k-pop,energetic,k-pop,bts,korean,
Drake,"Hold On, We're Going Home","https://www.last.fm/music/Drake/_/Hold+On,+We%27re+Going+Home",https://www.youtube.com/watch?v=GxgqpCdOKak,pop,rnb,2013,love,ballad,hip-hop,rap,rnb
Frank Ocean,Good Guy,https://www.last.fm/music/Frank+Ocean/_/Good+Guy,https://www.youtube.com/watch?v=t1ap-J3Kzr4,frank ocean,rnb,soul,hip-hop,,,,
xxxtentacion,HOPE,https://www.last.fm/music/xxxtentacion/_/HOPE,https://www.youtube.com/watch?v=KyAcMpQUY5s,hip-hop,rap,emo,xxxtentacion,post-nerdcore,hip-hop,rap,cloud rap
Childish Gambino,Me and Your Mama,https://www.last.fm/music/Childish+Gambino/_/Me+and+Your+Mama,https://www.youtube.com/watch?v=_hZCsgcKa-g,funk,soul,2016,best of 2016,hip-hop,rap,hip hop,
Taylor Swift,ME! (feat. Brendon Urie of Panic! at the Disco),https://www.last.fm/music/Taylor+Swift/_/ME%21+(feat.+Brendon+Urie+of+Panic%21+at+the+Disco),https://www.youtube.com/watch?v=FuXNumBwDOM,pop,taylor swift,pop,country,female vocalists,,,
Kendrick Lamar,Wesley's Theory,https://www.last.fm/music/Kendrick+Lamar/_/Wesley%27s+Theory,https://www.youtube.com/watch?v=l9fN-8NjrvI,hip-hop,kendrick lamar,rap,soul,hip-hop,rap,hip hop,
Frank Ocean,Pink Matter,https://www.last.fm/music/Frank+Ocean/_/Pink+Matter,https://www.youtube.com/watch?v=XHMaqlcPpIE,neo-soul,soul,r&b,def jam,rhythum and blues tag,rnb,soul,hip-hop
Black Sabbath,Paranoid,https://www.last.fm/music/Black+Sabbath/_/Paranoid,https://www.youtube.com/watch?v=hkXHsK4AQPs,heavy metal,classic rock,hard rock,rock,metal,heavy metal,hard rock,classic rock
Earl Sweatshirt,2010,https://www.last.fm/music/Earl+Sweatshirt/_/2010,https://www.youtube.com/watch?v=JUKh7Cj_3Fo,hip-hop,rap,ofwgkta,underground hip-hop,swag,hip-hop,rap,ofwgkta
Lana Del Rey,Dark Paradise,https://www.last.fm/music/Lana+Del+Rey/_/Dark+Paradise,https://www.youtube.com/watch?v=4e97neNvxB4,indie,pop,female vocalists,lana del rey,indie pop,indie,female vocalists,pop
Taylor Swift,The Story of Us,https://www.last.fm/music/Taylor+Swift/_/The+Story+of+Us,https://www.youtube.com/watch?v=nN6VR92V70M,pop,country,taylor swift,country pop,female vocalists,pop,country,female vocalists
Queen,Killer Queen - Remastered 2011,https://www.last.fm/music/Queen/_/Killer+Queen+-+Remastered+2011,https://www.youtube.com/watch?v=2ZBtPf7FOoM,rock,garage rock,psychedelic rock,bohemian rhapsody,classic rock,rock,hard rock,
Ariana Grande,just like magic,https://www.last.fm/music/Ariana+Grande/_/just+like+magic,https://www.youtube.com/watch?v=zMEzD2G2IKA,rnb,pop,electropop,trap pop,pop,rnb,female vocalists,
Drake,Chicago Freestyle (feat. Giveon),https://www.last.fm/music/Drake/_/Chicago+Freestyle+(feat.+Giveon),https://www.youtube.com/watch?v=p9pf5EyOgcs,hip-hop,trip hop,pop rap,trap,drake,hip-hop,rap,rnb
Spice Girls,Wannabe,https://www.last.fm/music/Spice+Girls/_/Wannabe,https://www.youtube.com/watch?v=gJLIiF15wjQ,pop,90s,dance,spice girls,female vocalists,pop,90s,british
50 Cent,In Da Club,https://www.last.fm/music/50+Cent/_/In+Da+Club,https://www.youtube.com/watch?v=5qm8PH4xAss,hip-hop,rap,hip hop,gangsta rap,50 cent,rap,hip-hop,gangsta rap
Rihanna,Don't Stop the Music,https://www.last.fm/music/Rihanna/_/Don%27t+Stop+the+Music,https://www.youtube.com/watch?v=yd8jh9QYfEs,dance,pop,rihanna,rnb,female vocalists,pop,rnb,dance
SZA,Garden (Say It Like Dat),https://www.last.fm/music/SZA/_/Garden+(Say+It+Like+Dat),https://www.youtube.com/watch?v=pcJo0tIWybY,alternative rnb,trap soul,rnb,rnb,soul,alternative rnb,,
Lady Gaga,Sour Candy (with BLACKPINK),https://www.last.fm/music/Lady+Gaga/_/Sour+Candy+(with+BLACKPINK),https://www.youtube.com/watch?v=fnPn6At3v28,blackpink,pop,lady gaga,electropop,pop,dance,electronic,
Eyedress,Something About You,https://www.last.fm/music/Eyedress/_/Something+About+You,https://www.youtube.com/watch?v=0VAAS9xnS5U,electronic,psychedelic,experimental,indie,electronic,psychedelic,experimental,
Muna,Silk Chiffon (feat. Phoebe Bridgers),https://www.last.fm/music/Muna/_/Silk+Chiffon+(feat.+Phoebe+Bridgers),https://www.youtube.com/watch?v=fhyk9rchC2c,rock,guitar,synthpop,pop,indie pop,synthpop,indie pop,indie
*NSYNC,"Merry Christmas, Happy Holidays","https://www.last.fm/music/%2ANSYNC/_/Merry+Christmas,+Happy+Holidays",https://www.youtube.com/watch?v=wKj92352UAE,christmas,pop,male vocalists,pop,boybands,90s,,
Mac Miller,Dang! (feat. Anderson .Paak),https://www.last.fm/music/Mac+Miller/_/Dang%21+(feat.+Anderson+.Paak),https://www.youtube.com/watch?v=LR3GQfryp9M,hip-hop,rnb,jazz rap,neo-soul,pop rap,hip-hop,rap,hip hop
Plain White T's,Hey There Delilah,https://www.last.fm/music/Plain+White+T%27s/_/Hey+There+Delilah,https://www.youtube.com/watch?v=h_m-BjrxmgI,acoustic,indie,love,rock,indie,pop punk,rock,
Melanie Martinez,Pacify Her,https://www.last.fm/music/Melanie+Martinez/_/Pacify+Her,https://www.youtube.com/watch?v=9u14-QBPzSE,indie,jealousy,omg,love it,bitch song,pop,indie,indie pop
Polo G,Martin & Gina,https://www.last.fm/music/Polo+G/_/Martin+&+Gina,https://www.youtube.com/watch?v=u0znp7mj5io,polo g,rap,hip-hop,hip hop,,,,
Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),https://www.last.fm/music/Elvis+Presley/_/Here+Comes+Santa+Claus+(Right+Down+Santa+Claus+Lane),https://www.youtube.com/watch?v=sUQyQHQDoOc,christmas,rock n roll,classic rock,oldies,,,,
The Beatles,Yesterday - Remastered 2009,https://www.last.fm/music/The+Beatles/_/Yesterday+-+Remastered+2009,https://www.youtube.com/watch?v=NrgmdOz227I,classic rock,guns n roses,jpgr,riders on the storm,classic rock,rock,60s,
Hozier,Like Real People Do,https://www.last.fm/music/Hozier/_/Like+Real+People+Do,https://www.youtube.com/watch?v=uPxvvmlkNHw,soul,ethereal,lovely,haunting,blues,indie,soul,
Frank Ocean,solo (reprise),https://www.last.fm/music/Frank+Ocean/_/solo+(reprise),https://www.youtube.com/watch?v=XXMHQ410P-c,experimental,postmodern,andre 3000,experimental hip-hop,best verse of 2016,rnb,soul,hip-hop
21 Savage,ball w/o you,https://www.last.fm/music/21+Savage/_/ball+w%2Fo+you,https://www.youtube.com/watch?v=G68rIXiy0Bo,hip-hop,jazz rap,southern hip hop,pop rap,trap,trap,hip-hop,rap
xxxtentacion,Revenge,https://www.last.fm/music/xxxtentacion/_/Revenge,https://www.youtube.com/watch?v=CD_tD26E7k0,emo rap,post-nerdcore,rap,acoustic,hip-hop,rap,cloud rap,
Beach House,Once twice melody,https://www.last.fm/music/Beach+House/_/Once+twice+melody,https://www.youtube.com/watch?v=FCNSCrF5miw,dream pop,indie pop,indie,lo-fi,dream pop,indie pop,indie,
blink-182,What's My Age Again?,https://www.last.fm/music/blink-182/_/What%27s+My+Age+Again%3F,https://www.youtube.com/watch?v=K7l5ZeVVoCA,punk rock,pop punk,punk,rock,blink 182,punk rock,pop punk,punk
Ed Sheeran,Shape of You,https://www.last.fm/music/Ed+Sheeran/_/Shape+of+You,https://www.youtube.com/watch?v=JGwWNGJdvx8,pop,dancehall,2017,best of 2017,acoustic,british,singer-songwriter,
THE SCOTTS,THE SCOTTS,https://www.last.fm/music/THE+SCOTTS/_/THE+SCOTTS,https://www.youtube.com/watch?v=sw4r0k8WWqU,rap,the scotts,hip-hop,trap,,,,
"Tyler, the Creator",Smuckers (feat. Lil Wayne & Kanye West),"https://www.last.fm/music/Tyler,+the+Creator/_/Smuckers+(feat.+Lil+Wayne+&+Kanye+West)",https://www.youtube.com/watch?v=0vrBBRjk2fc,experimental hip-hop,alternative,hip-hop,rap,ofwgkta,,,
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","https://www.last.fm/music/Ariana+Grande/_/34%252B35+Remix+(feat.+Doja+Cat,+Megan+Thee+Stallion)+-+Remix",https://www.youtube.com/watch?v=ssq6X6alZ3w,rnb,pop rap,trap, hip-hop,trap pop,pop,rnb,female vocalists
Katy Perry,E.T.,https://www.last.fm/music/Katy+Perry/_/E.T.,https://www.youtube.com/watch?v=t5Sd5c4o9UM,pop,female vocalists,electronic,katy perry,electropop,pop,female vocalists,pop rock
Juice WRLD,My Life in a Nutshell,https://www.last.fm/music/Juice+WRLD/_/My+Life+in+a+Nutshell,https://www.youtube.com/watch?v=zWjX-NJvFDo,juice wrld,hip-hop,rap,emo rap,,,,
Lana Del Rey,Cherry,https://www.last.fm/music/Lana+Del+Rey/_/Cherry,https://www.youtube.com/watch?v=uNuMH2i6wdI,alternative,indie,pop,epic,trip-hop,indie,female vocalists,pop
BTS,My Time,https://www.last.fm/music/BTS/_/My+Time,https://www.youtube.com/watch?v=a_zk4JFK43g,jungkook,bts,k-pop,bts,korean,,,
Ariana Grande,Goodnight n Go,https://www.last.fm/music/Ariana+Grande/_/Goodnight+n+Go,https://www.youtube.com/watch?v=sXJ2hajo6rw,cover,pop,rnb,pop,rnb,female vocalists,,
K/DA,MORE,https://www.last.fm/music/K%2FDA/_/MORE,https://www.youtube.com/watch?v=3VTkBuxU4yk,pop,metal,classical,phonk,k-pop,pop,league of legends,
5 Seconds of Summer,Ghost of You,https://www.last.fm/music/5+Seconds+of+Summer/_/Ghost+of+You,https://www.youtube.com/watch?v=CiqlmRX67YA,pop,rock,pop rock,love song,lovely,pop punk,pop rock,pop
The Chainsmokers,Closer,https://www.last.fm/music/The+Chainsmokers/_/Closer,https://www.youtube.com/watch?v=0zGcUoRlhmw,2016,halsey,electronic,pop,house,,,
Lauv,Who (feat. BTS),https://www.last.fm/music/Lauv/_/Who+(feat.+BTS),https://www.youtube.com/watch?v=vS0YXAfUo4k,jimin,pop,bts,jungkook,pop,indie pop,indie,
Kanye West,Real Friends,https://www.last.fm/music/Kanye+West/_/Real+Friends,https://www.youtube.com/watch?v=fWD9GF-Ogf4,hip hop,conscious hip hop,2016,muzorgasm with anton gossip 2k16,hip-hop,rap,hip hop,
Lost Frequencies,Where Are You Now,https://www.last.fm/music/Lost+Frequencies/_/Where+Are+You+Now,https://www.youtube.com/watch?v=PoP2Sa7wYNQ,dance,house,deep house,eletronic,edm,deep house,electronic,dance
Keane,Somewhere Only We Know,https://www.last.fm/music/Keane/_/Somewhere+Only+We+Know,https://www.youtube.com/watch?v=Oextk-If8HQ,britpop,indie,alternative,rock,keane,britpop,indie,alternative
Taylor Swift,I Forgot That You Existed,https://www.last.fm/music/Taylor+Swift/_/I+Forgot+That+You+Existed,https://www.youtube.com/watch?v=p1cEvNn88jM,pop,2010s,taylor swift,pop,country,female vocalists,,
SLEEPY HALLOW,2055,https://www.last.fm/music/SLEEPY+HALLOW/_/2055,https://www.youtube.com/watch?v=mfBU6iXI4AE,rap,trap,2021,drill,hip-hop,rap,trap,drill
Roddy Ricch,Late At Night,https://www.last.fm/music/Roddy+Ricch/_/Late+At+Night,https://www.youtube.com/watch?v=sJDRfZJFAk0,rap,hip-hop,rap,trap,,,,
Taylor Swift,Welcome to New York,https://www.last.fm/music/Taylor+Swift/_/Welcome+to+New+York,https://www.youtube.com/watch?v=w1HU24bNbX8,pop,synthpop,female vocalists,love at first listen,pop,country,female vocalists,
K.Flay,High Enough,https://www.last.fm/music/K.Flay/_/High+Enough,https://www.youtube.com/watch?v=j04JKdcXjkU,pop,electropop,hip-hop,great vocals,riverdale,hip-hop,rap,indie
The Animals,House of the Rising Sun,https://www.last.fm/music/The+Animals/_/House+of+the+Rising+Sun,https://www.youtube.com/watch?v=sHbKdI26RkE,classic rock,60s,rock,british,oldies,classic rock,60s,rock
boywithuke,Toxic,https://www.last.fm/music/boywithuke/_/Toxic,https://www.youtube.com/watch?v=Mvaosumc4hU,indie pop,indie,pop,singer-songwriter,indie pop,indie,pop,
The Offspring,"You're Gonna Go Far, Kid","https://www.last.fm/music/The+Offspring/_/You%27re+Gonna+Go+Far,+Kid",https://www.youtube.com/watch?v=ql9-82oV2JE,punk rock,rock,punk,the offspring,punk rock,punk,rock,
Agust D,People,https://www.last.fm/music/Agust+D/_/People,https://www.youtube.com/watch?v=sHbl6mt6X80,hip hop,fave,soty,adora,rap,hip-hop,korean,
Girl In Red,i wanna be your girlfriend,https://www.last.fm/music/Girl+In+Red/_/i+wanna+be+your+girlfriend,https://www.youtube.com/watch?v=COOBN-cdJbo,lo-fi,pop,indie pop,singer-songwriter,indie,dream pop,lo-fi,
Billie Eilish,OverHeated,https://www.last.fm/music/Billie+Eilish/_/OverHeated,https://www.youtube.com/watch?v=vg6V2UWSjiM,electropop,alternative rnb,hip hop,rnb,pop,indie pop,electropop,
